agent_id,distinct_names_seen
AGT0000001,10
AGT0000002,10
AGT0000003,10
AGT0000004,10
AGT0000005,10
AGT0000006,10
AGT0000007,10
AGT0000008,10
AGT0000009,10
AGT0000010,10
AGT0000011,9
AGT0000012,10
AGT0000013,9
AGT0000014,10
AGT0000015,9
AGT0000016,10
AGT0000017,10
AGT0000018,8
AGT0000019,9
AGT0000020,10
AGT0000021,8
AGT0000022,9
AGT0000023,10
AGT0000024,9
AGT0000025,10
AGT0000026,10
AGT0000027,10
AGT0000028,9
AGT0000029,10
AGT0000030,10
AGT0000031,9
AGT0000032,9
AGT0000033,10
AGT0000034,9
AGT0000035,10
AGT0000036,10
AGT0000037,10
AGT0000038,9
AGT0000039,9
AGT0000040,9
AGT0000041,10
AGT0000042,8
AGT0000043,9
AGT0000044,10
AGT0000045,10
AGT0000046,9
AGT0000047,9
AGT0000048,10
AGT0000049,10
AGT0000050,9
AGT0000051,10
AGT0000052,10
AGT0000053,10
AGT0000054,10
AGT0000055,8
AGT0000056,10
AGT0000057,10
AGT0000058,9
AGT0000059,10
AGT0000060,9
AGT0000061,10
AGT0000062,9
AGT0000063,10
AGT0000064,9
AGT0000065,10
AGT0000066,10
AGT0000067,9
AGT0000068,9
AGT0000069,10
AGT0000070,8
AGT0000071,9
AGT0000072,9
AGT0000073,10
AGT0000074,9
AGT0000075,10
AGT0000076,10
AGT0000077,9
AGT0000078,10
AGT0000079,10
AGT0000080,9
AGT0000081,9
AGT0000082,9
AGT0000083,9
AGT0000084,9
AGT0000085,9
AGT0000086,10
AGT0000087,10
AGT0000088,10
AGT0000089,10
AGT0000090,10
AGT0000091,10
AGT0000092,10
AGT0000093,10
AGT0000094,10
AGT0000095,10
AGT0000096,7
AGT0000097,10
AGT0000098,9
AGT0000099,10
AGT0000100,10
AGT0000101,9
AGT0000102,10
AGT0000103,9
AGT0000104,10
AGT0000105,10
AGT0000106,9
AGT0000107,9
AGT0000108,10
AGT0000109,10
AGT0000110,8
AGT0000111,9
AGT0000112,9
AGT0000113,9
AGT0000114,10
AGT0000115,9
AGT0000116,10
AGT0000117,10
AGT0000118,10
AGT0000119,10
AGT0000120,8
AGT0000121,9
AGT0000122,10
AGT0000123,9
AGT0000124,9
AGT0000125,10
AGT0000126,10
AGT0000127,10
AGT0000128,8
AGT0000129,10
AGT0000130,9
AGT0000131,9
AGT0000132,9
AGT0000133,8
AGT0000134,10
AGT0000135,10
AGT0000136,10
AGT0000137,8
AGT0000138,9
AGT0000139,10
AGT0000140,10
AGT0000141,10
AGT0000142,9
AGT0000143,9
AGT0000144,9
AGT0000145,10
AGT0000146,10
AGT0000147,10
AGT0000148,10
AGT0000149,8
AGT0000150,10
AGT0000151,9
AGT0000152,10
AGT0000153,9
AGT0000154,10
AGT0000155,10
AGT0000156,9
AGT0000157,10
AGT0000158,10
AGT0000159,9
AGT0000160,10
AGT0000161,10
AGT0000162,9
AGT0000163,10
AGT0000164,9
AGT0000165,10
AGT0000166,10
AGT0000167,10
AGT0000168,10
AGT0000169,9
AGT0000170,9
AGT0000171,10
AGT0000172,9
AGT0000173,9
AGT0000174,9
AGT0000175,7
AGT0000176,9
AGT0000177,10
AGT0000178,10
AGT0000179,9
AGT0000180,10
AGT0000181,9
AGT0000182,10
AGT0000183,10
AGT0000184,10
AGT0000185,10
AGT0000186,9
AGT0000187,8
AGT0000188,9
AGT0000189,10
AGT0000190,9
AGT0000191,9
AGT0000192,8
AGT0000193,9
AGT0000194,9
AGT0000195,10
AGT0000196,10
AGT0000197,10
AGT0000198,9
AGT0000199,10
AGT0000200,10
AGT0000201,10
AGT0000202,10
AGT0000203,10
AGT0000204,8
AGT0000205,9
